Year,State,Industry Sector Category,AvgCent_kWh
2/25/2019,CT,Full-Service Providers,20.75
3/4/2019,DC,Full-Service Providers,12.11
3/11/2019,DE,Full-Service Providers,12.40
3/18/2019,FL,Full-Service Providers,11.54
3/25/2019,GA,Full-Service Providers,11.47
4/1/2019,HI,Full-Service Providers,32.47
4/8/2019,IA,Full-Service Providers,12.24
4/15/2019,ID,Full-Service Providers,10.15
4/22/2019,IL,Full-Service Providers,12.60
4/29/2019,IN,Full-Service Providers,12.26
5/6/2019,KS,Full-Service Providers,13.35
5/13/2019,KY,Full-Service Providers,10.60
5/20/2019,LA,Full-Service Providers,9.59
5/27/2019,MA,Full-Service Providers,20.64
6/3/2019,MD,Full-Service Providers,12.94
6/10/2019,ME,Full-Service Providers,16.55
6/17/2019,MI,Full-Service Providers,15.45
6/24/2019,MN,Full-Service Providers,13.14
7/1/2019,MO,Full-Service Providers,11.34
7/8/2019,MS,Full-Service Providers,11.12
7/15/2019,MT,Full-Service Providers,10.96
7/22/2019,NC,Full-Service Providers,11.09
7/29/2019,ND,Full-Service Providers,10.25
8/5/2019,NE,Full-Service Providers,10.70
8/12/2019,NH,Full-Service Providers,19.31
8/19/2019,NJ,Full-Service Providers,15.19
8/26/2019,NM,Full-Service Providers,12.68
9/2/2019,NV,Full-Service Providers,11.85
9/9/2019,NY,Full-Service Providers,18.01
9/16/2019,OH,Full-Service Providers,12.37
9/23/2019,OK,Full-Service Providers,10.30
9/30/2019,OR,Full-Service Providers,10.98
10/7/2019,PA,Full-Service Providers,13.19
10/14/2019,RI,Full-Service Providers,20.34
10/21/2019,SC,Full-Service Providers,12.44
10/28/2019,SD,Full-Service Providers,11.59
11/4/2019,TN,Full-Service Providers,10.71
11/11/2019,TX,Full-Service Providers,11.20
11/18/2019,UT,Full-Service Providers,10.41
11/25/2019,VA,Full-Service Providers,11.73
12/2/2019,VT,Full-Service Providers,18.02
12/9/2019,WA,Full-Service Providers,9.75
12/16/2019,WI,Full-Service Providers,14.02
12/23/2019,WV,Full-Service Providers,11.18
12/30/2019,WY,Full-Service Providers,11.29
1/15/2018,AK,Full-Service Providers,21.27
1/22/2018,AL,Full-Service Providers,12.55
1/29/2018,AR,Full-Service Providers,10.28
2/5/2018,AZ,Full-Service Providers,12.44
2/12/2018,CA,Full-Service Providers,18.15
2/19/2018,CO,Full-Service Providers,12.17
2/26/2018,CT,Full-Service Providers,19.82
3/5/2018,DC,Full-Service Providers,12.21
3/12/2018,DE,Full-Service Providers,13.23
3/19/2018,FL,Full-Service Providers,11.61
3/26/2018,GA,Full-Service Providers,11.90
4/2/2018,HI,Full-Service Providers,29.50
4/9/2018,IA,Full-Service Providers,12.34
4/16/2018,ID,Full-Service Providers,10.04
4/23/2018,IL,Full-Service Providers,12.64
4/30/2018,IN,Full-Service Providers,12.29
5/7/2018,KS,Full-Service Providers,13.31
5/14/2018,KY,Full-Service Providers,10.85
5/21/2018,LA,Full-Service Providers,9.74
5/28/2018,MA,Full-Service Providers,19.00
6/4/2018,MD,Full-Service Providers,13.61
6/11/2018,ME,Full-Service Providers,15.56
6/18/2018,MI,Full-Service Providers,15.40
6/25/2018,MN,Full-Service Providers,13.04
7/2/2018,MO,Full-Service Providers,11.63
7/9/2018,MS,Full-Service Providers,11.08
7/16/2018,MT,Full-Service Providers,10.95
7/23/2018,NC,Full-Service Providers,10.94
7/30/2018,ND,Full-Service Providers,10.29
8/6/2018,NE,Full-Service Providers,10.97
8/13/2018,NH,Full-Service Providers,19.69
8/20/2018,NJ,Full-Service Providers,15.49
8/27/2018,NM,Full-Service Providers,12.88
9/3/2018,NV,Full-Service Providers,11.99
9/10/2018,NY,Full-Service Providers,17.44
9/17/2018,OH,Full-Service Providers,12.54
9/24/2018,OK,Full-Service Providers,10.61
10/1/2018,OR,Full-Service Providers,10.66
10/8/2018,PA,Full-Service Providers,13.64
10/15/2018,RI,Full-Service Providers,17.99
10/22/2018,SC,Full-Service Providers,13.02
10/29/2018,SD,Full-Service Providers,11.77
11/5/2018,TN,Full-Service Providers,10.72
11/12/2018,TX,Full-Service Providers,11.01
11/19/2018,UT,Full-Service Providers,10.95
11/26/2018,VA,Full-Service Providers,11.55
12/3/2018,VT,Full-Service Providers,17.68
12/10/2018,WA,Full-Service Providers,9.66
12/17/2018,WI,Full-Service Providers,14.35
12/24/2018,WV,Full-Service Providers,11.63
12/31/2018,WY,Full-Service Providers,11.37
1/9/2017,AK,Full-Service Providers,20.30
1/16/2017,AL,Full-Service Providers,11.99
1/23/2017,AR,Full-Service Providers,9.92
1/30/2017,AZ,Full-Service Providers,12.15
2/6/2017,CA,Full-Service Providers,17.32
2/13/2017,CO,Full-Service Providers,12.07
2/20/2017,CT,Full-Service Providers,19.46
2/27/2017,DC,Full-Service Providers,11.49
3/6/2017,DE,Full-Service Providers,13.32
3/13/2017,FL,Full-Service Providers,10.98
3/20/2017,GA,Full-Service Providers,11.50
3/27/2017,HI,Full-Service Providers,27.47
4/3/2017,IA,Full-Service Providers,11.94
4/10/2017,ID,Full-Service Providers,9.95
4/17/2017,IL,Full-Service Providers,12.16
4/24/2017,IN,Full-Service Providers,11.79
5/1/2017,KS,Full-Service Providers,13.06
5/8/2017,KY,Full-Service Providers,10.49
5/15/2017,LA,Full-Service Providers,9.34
5/22/2017,MA,Full-Service Providers,18.18
5/29/2017,MD,Full-Service Providers,13.92
6/5/2017,ME,Full-Service Providers,15.27
6/12/2017,MI,Full-Service Providers,15.22
6/19/2017,MN,Full-Service Providers,12.67
6/26/2017,MO,Full-Service Providers,11.21
7/3/2017,MS,Full-Service Providers,10.47
7/10/2017,MT,Full-Service Providers,10.94
7/17/2017,NC,Full-Service Providers,11.03
7/24/2017,ND,Full-Service Providers,10.16
7/31/2017,NE,Full-Service Providers,10.84
8/7/2017,NH,Full-Service Providers,18.66
8/14/2017,NJ,Full-Service Providers,15.60
8/21/2017,NM,Full-Service Providers,12.03
8/28/2017,NV,Full-Service Providers,11.41
9/4/2017,NY,Full-Service Providers,16.92
9/11/2017,OH,Full-Service Providers,12.52
9/18/2017,OK,Full-Service Providers,10.20
9/25/2017,OR,Full-Service Providers,10.66
10/2/2017,PA,Full-Service Providers,13.26
10/9/2017,RI,Full-Service Providers,18.42
10/16/2017,SC,Full-Service Providers,12.65
10/23/2017,SD,Full-Service Providers,11.47
10/30/2017,TN,Full-Service Providers,10.41
11/6/2017,TX,Full-Service Providers,10.99
11/13/2017,UT,Full-Service Providers,11.02
11/20/2017,VA,Full-Service Providers,11.36
11/27/2017,VT,Full-Service Providers,17.37
12/4/2017,WA,Full-Service Providers,9.48
12/11/2017,WI,Full-Service Providers,14.07
12/18/2017,WV,Full-Service Providers,11.44
12/25/2017,WY,Full-Service Providers,11.13
1/11/2016,AK,Full-Service Providers,19.83
1/18/2016,AL,Full-Service Providers,11.70
1/25/2016,AR,Full-Service Providers,9.82
2/1/2016,AZ,Full-Service Providers,12.13
2/8/2016,CA,Full-Service Providers,16.97
2/15/2016,CO,Full-Service Providers,12.12
2/22/2016,CT,Full-Service Providers,20.38
2/29/2016,DC,Full-Service Providers,12.30
3/7/2016,DE,Full-Service Providers,13.29
3/14/2016,FL,Full-Service Providers,11.58
3/21/2016,GA,Full-Service Providers,11.54
3/28/2016,HI,Full-Service Providers,29.60
4/4/2016,IA,Full-Service Providers,11.63
4/11/2016,ID,Full-Service Providers,9.93
4/18/2016,IL,Full-Service Providers,12.55
4/25/2016,IN,Full-Service Providers,11.57
5/2/2016,KS,Full-Service Providers,12.34
5/9/2016,KY,Full-Service Providers,10.24
5/16/2016,LA,Full-Service Providers,9.33
5/23/2016,MA,Full-Service Providers,19.40
5/30/2016,MD,Full-Service Providers,13.43
6/6/2016,ME,Full-Service Providers,14.84
6/13/2016,MI,Full-Service Providers,14.42
6/20/2016,MN,Full-Service Providers,12.12
6/27/2016,MO,Full-Service Providers,11.21
7/4/2016,MS,Full-Service Providers,11.27
7/11/2016,MT,Full-Service Providers,10.88
7/18/2016,NC,Full-Service Providers,11.28
7/25/2016,ND,Full-Service Providers,9.62
8/1/2016,NE,Full-Service Providers,10.60
8/8/2016,NH,Full-Service Providers,18.62
8/15/2016,NJ,Full-Service Providers,15.61
8/22/2016,NM,Full-Service Providers,12.47
8/29/2016,NV,Full-Service Providers,12.76
9/5/2016,NY,Full-Service Providers,17.80
9/12/2016,OH,Full-Service Providers,12.77
9/19/2016,OK,Full-Service Providers,10.14
9/26/2016,OR,Full-Service Providers,10.66
10/3/2016,PA,Full-Service Providers,13.16
10/10/2016,RI,Full-Service Providers,19.20
10/17/2016,SC,Full-Service Providers,12.57
10/24/2016,SD,Full-Service Providers,11.08
10/31/2016,TN,Full-Service Providers,10.30
11/7/2016,TX,Full-Service Providers,11.56
11/14/2016,UT,Full-Service Providers,10.88
11/21/2016,VA,Full-Service Providers,11.37
11/28/2016,VT,Full-Service Providers,17.09
12/5/2016,WA,Full-Service Providers,9.09
12/12/2016,WI,Full-Service Providers,14.11
12/19/2016,WV,Full-Service Providers,10.08
12/26/2016,WY,Full-Service Providers,10.97
1/12/2015,AK,Full-Service Providers,19.14
1/19/2015,AL,Full-Service Providers,11.48
1/26/2015,AR,Full-Service Providers,9.51
2/2/2015,AZ,Full-Service Providers,11.90
2/9/2015,CA,Full-Service Providers,16.24
2/16/2015,CO,Full-Service Providers,12.18
2/23/2015,CT,Full-Service Providers,18.57
3/2/2015,DC,Full-Service Providers,12.49
3/9/2015,DE,Full-Service Providers,13.15
3/16/2015,FL,Full-Service Providers,11.89
3/23/2015,GA,Full-Service Providers,11.65
3/30/2015,HI,Full-Service Providers,37.04
4/6/2015,IA,Full-Service Providers,11.16
4/13/2015,ID,Full-Service Providers,9.72
4/20/2015,IL,Full-Service Providers,11.86
4/27/2015,IN,Full-Service Providers,11.46
5/4/2015,KS,Full-Service Providers,12.17
5/11/2015,KY,Full-Service Providers,10.16
5/18/2015,LA,Full-Service Providers,9.57
5/25/2015,MA,Full-Service Providers,17.08
6/1/2015,MD,Full-Service Providers,13.28
6/8/2015,ME,Full-Service Providers,14.27
6/15/2015,MI,Full-Service Providers,14.46
6/22/2015,MN,Full-Service Providers,12.01
6/29/2015,MO,Full-Service Providers,10.64
7/6/2015,MS,Full-Service Providers,11.32
7/13/2015,MT,Full-Service Providers,10.18
7/20/2015,NC,Full-Service Providers,11.10
7/27/2015,ND,Full-Service Providers,9.15
8/3/2015,NE,Full-Service Providers,10.40
8/10/2015,NH,Full-Service Providers,17.93
8/17/2015,NJ,Full-Service Providers,15.37
8/24/2015,NM,Full-Service Providers,12.28
8/31/2015,NV,Full-Service Providers,12.93
9/7/2015,NY,Full-Service Providers,19.52
9/14/2015,OH,Full-Service Providers,12.87
9/21/2015,OK,Full-Service Providers,10.03
9/28/2015,OR,Full-Service Providers,10.47
10/5/2015,PA,Full-Service Providers,12.83
10/12/2015,RI,Full-Service Providers,17.10
10/19/2015,SC,Full-Service Providers,12.45
10/26/2015,SD,Full-Service Providers,10.47
11/2/2015,TN,Full-Service Providers,10.32
11/9/2015,TX,Full-Service Providers,11.86
11/16/2015,UT,Full-Service Providers,10.65
11/23/2015,VA,Full-Service Providers,11.10
11/30/2015,VT,Full-Service Providers,17.47
12/7/2015,WA,Full-Service Providers,8.67
12/14/2015,WI,Full-Service Providers,13.67
12/21/2015,WV,Full-Service Providers,9.34
12/28/2015,WY,Full-Service Providers,10.50
1/13/2014,AK,Full-Service Providers,18.12
1/20/2014,AL,Full-Service Providers,11.26
1/27/2014,AR,Full-Service Providers,9.59
2/3/2014,AZ,Full-Service Providers,11.71
2/10/2014,CA,Full-Service Providers,16.21
2/17/2014,CO,Full-Service Providers,11.93
2/24/2014,CT,Full-Service Providers,16.62
3/3/2014,DC,Full-Service Providers,12.54
3/10/2014,DE,Full-Service Providers,12.93
3/17/2014,FL,Full-Service Providers,11.27
3/24/2014,GA,Full-Service Providers,11.46
3/31/2014,HI,Full-Service Providers,36.98
4/7/2014,IA,Full-Service Providers,11.04
4/14/2014,ID,Full-Service Providers,9.32
4/21/2014,IL,Full-Service Providers,11.04
4/28/2014,IN,Full-Service Providers,10.99
5/5/2014,KS,Full-Service Providers,11.64
5/12/2014,KY,Full-Service Providers,9.79
5/19/2014,LA,Full-Service Providers,9.43
5/26/2014,MA,Full-Service Providers,15.64
6/2/2014,MD,Full-Service Providers,13.19
6/9/2014,ME,Full-Service Providers,13.78
6/16/2014,MI,Full-Service Providers,14.59
6/23/2014,MN,Full-Service Providers,11.81
6/30/2014,MO,Full-Service Providers,10.60
7/7/2014,MS,Full-Service Providers,10.78
7/14/2014,MT,Full-Service Providers,10.33
7/21/2014,NC,Full-Service Providers,10.97
7/28/2014,ND,Full-Service Providers,9.12
8/4/2014,NE,Full-Service Providers,10.31
8/11/2014,NH,Full-Service Providers,16.83
8/18/2014,NJ,Full-Service Providers,15.60
8/25/2014,NM,Full-Service Providers,11.68
9/1/2014,NV,Full-Service Providers,11.89
9/8/2014,NY,Full-Service Providers,18.46
9/15/2014,OH,Full-Service Providers,12.44
9/22/2014,OK,Full-Service Providers,9.67
9/29/2014,OR,Full-Service Providers,9.90
10/6/2014,PA,Full-Service Providers,12.64
10/13/2014,RI,Full-Service Providers,15.17
10/20/2014,SC,Full-Service Providers,11.99
10/27/2014,SD,Full-Service Providers,10.26
11/3/2014,TN,Full-Service Providers,9.98
11/10/2014,TX,Full-Service Providers,11.35
11/17/2014,UT,Full-Service Providers,10.37
11/24/2014,VA,Full-Service Providers,10.84
12/1/2014,VT,Full-Service Providers,17.14
12/8/2014,WA,Full-Service Providers,8.70
12/15/2014,WI,Full-Service Providers,13.55
12/22/2014,WV,Full-Service Providers,9.52
12/29/2014,WY,Full-Service Providers,10.16
1/14/2013,AK,Full-Service Providers,17.88
1/21/2013,AL,Full-Service Providers,11.40
1/28/2013,AR,Full-Service Providers,9.30
2/4/2013,AZ,Full-Service Providers,11.29
2/11/2013,CA,Full-Service Providers,15.32
2/18/2013,CO,Full-Service Providers,11.46
2/25/2013,CT,Full-Service Providers,17.05
3/4/2013,DC,Full-Service Providers,12.25
3/11/2013,DE,Full-Service Providers,13.60
3/18/2013,FL,Full-Service Providers,11.42
3/25/2013,GA,Full-Service Providers,11.17
4/1/2013,HI,Full-Service Providers,37.34
4/8/2013,IA,Full-Service Providers,10.82
4/15/2013,ID,Full-Service Providers,8.67
4/22/2013,IL,Full-Service Providers,11.70
4/29/2013,IN,Full-Service Providers,10.53
5/6/2013,KS,Full-Service Providers,11.24
5/13/2013,KY,Full-Service Providers,9.43
5/20/2013,LA,Full-Service Providers,8.37
5/27/2013,MA,Full-Service Providers,14.77
6/3/2013,MD,Full-Service Providers,12.78
6/10/2013,ME,Full-Service Providers,13.84
6/17/2013,MI,Full-Service Providers,14.13
6/24/2013,MN,Full-Service Providers,11.35
7/1/2013,MO,Full-Service Providers,10.17
7/8/2013,MS,Full-Service Providers,10.26
7/15/2013,MT,Full-Service Providers,10.08
7/22/2013,NC,Full-Service Providers,10.91
7/29/2013,ND,Full-Service Providers,9.06
8/5/2013,NE,Full-Service Providers,10.04
8/12/2013,NH,Full-Service Providers,16.12
8/19/2013,NJ,Full-Service Providers,15.87
8/26/2013,NM,Full-Service Providers,11.37
9/2/2013,NV,Full-Service Providers,11.83
9/9/2013,NY,Full-Service Providers,17.33
9/16/2013,OH,Full-Service Providers,12.02
9/23/2013,OK,Full-Service Providers,9.51
9/30/2013,OR,Full-Service Providers,9.80
10/7/2013,PA,Full-Service Providers,12.75
10/14/2013,RI,Full-Service Providers,14.41
10/21/2013,SC,Full-Service Providers,11.77
10/28/2013,SD,Full-Service Providers,10.07
11/4/2013,TN,Full-Service Providers,10.10
11/11/2013,TX,Full-Service Providers,10.98
11/18/2013,UT,Full-Service Providers,9.93
11/25/2013,VA,Full-Service Providers,11.08
12/2/2013,VT,Full-Service Providers,17.01
12/9/2013,WA,Full-Service Providers,8.53
12/16/2013,WI,Full-Service Providers,13.19
12/23/2013,WV,Full-Service Providers,9.85
12/30/2013,WY,Full-Service Providers,9.85
1/16/2012,AK,Full-Service Providers,17.62
1/23/2012,AL,Full-Service Providers,11.09
1/30/2012,AR,Full-Service Providers,9.02
2/6/2012,AZ,Full-Service Providers,11.08
2/13/2012,CA,Full-Service Providers,14.75
2/20/2012,CO,Full-Service Providers,11.27
2/27/2012,CT,Full-Service Providers,17.92
3/5/2012,DC,Full-Service Providers,13.44
3/12/2012,DE,Full-Service Providers,13.72
3/19/2012,FL,Full-Service Providers,11.51
3/26/2012,GA,Full-Service Providers,11.05
4/2/2012,HI,Full-Service Providers,34.68
4/9/2012,IA,Full-Service Providers,10.46
4/16/2012,ID,Full-Service Providers,7.87
4/23/2012,IL,Full-Service Providers,11.79
4/30/2012,IN,Full-Service Providers,10.06
5/7/2012,KS,Full-Service Providers,10.65
5/14/2012,KY,Full-Service Providers,9.20
5/21/2012,LA,Full-Service Providers,8.96
5/28/2012,MA,Full-Service Providers,14.49
6/4/2012,MD,Full-Service Providers,13.29
6/11/2012,ME,Full-Service Providers,14.47
6/18/2012,MI,Full-Service Providers,13.27
6/25/2012,MN,Full-Service Providers,10.96
7/2/2012,MO,Full-Service Providers,9.75
7/9/2012,MS,Full-Service Providers,10.17
7/16/2012,MT,Full-Service Providers,9.75
7/23/2012,NC,Full-Service Providers,10.26
7/30/2012,ND,Full-Service Providers,8.58
8/6/2012,NE,Full-Service Providers,9.32
8/13/2012,NH,Full-Service Providers,16.52
8/20/2012,NJ,Full-Service Providers,16.23
8/27/2012,NM,Full-Service Providers,11.00
9/3/2012,NV,Full-Service Providers,11.61
9/10/2012,NY,Full-Service Providers,18.06
9/17/2012,OH,Full-Service Providers,11.57
9/24/2012,OK,Full-Service Providers,9.47
10/1/2012,OR,Full-Service Providers,9.54
10/8/2012,PA,Full-Service Providers,13.24
10/15/2012,RI,Full-Service Providers,14.34
10/22/2012,SC,Full-Service Providers,11.05
10/29/2012,SD,Full-Service Providers,9.35
11/5/2012,TN,Full-Service Providers,9.98
11/12/2012,TX,Full-Service Providers,11.08
11/19/2012,UT,Full-Service Providers,8.96
11/26/2012,VA,Full-Service Providers,10.64
12/3/2012,VT,Full-Service Providers,16.26
12/10/2012,WA,Full-Service Providers,8.28
12/17/2012,WI,Full-Service Providers,13.02
12/24/2012,WV,Full-Service Providers,9.39
12/31/2012,WY,Full-Service Providers,9.11
1/10/2011,AK,Full-Service Providers,16.26
1/17/2011,AL,Full-Service Providers,10.67
1/24/2011,AR,Full-Service Providers,8.86
1/31/2011,AZ,Full-Service Providers,10.97
2/7/2011,CA,Full-Service Providers,14.74
2/14/2011,CO,Full-Service Providers,11.04
2/21/2011,CT,Full-Service Providers,19.47
2/28/2011,DC,Full-Service Providers,14.02
3/7/2011,DE,Full-Service Providers,13.78
3/14/2011,FL,Full-Service Providers,11.44
3/21/2011,GA,Full-Service Providers,10.07
3/28/2011,HI,Full-Service Providers,28.10
4/4/2011,IA,Full-Service Providers,10.42
4/11/2011,ID,Full-Service Providers,7.99
4/18/2011,IL,Full-Service Providers,11.52
4/25/2011,IN,Full-Service Providers,9.56
5/2/2011,KS,Full-Service Providers,10.03
5/9/2011,KY,Full-Service Providers,8.57
5/16/2011,LA,Full-Service Providers,8.98
5/23/2011,MA,Full-Service Providers,14.31
5/30/2011,MD,Full-Service Providers,14.35
6/6/2011,ME,Full-Service Providers,15.47
6/13/2011,MI,Full-Service Providers,12.46
6/20/2011,MN,Full-Service Providers,10.59
6/27/2011,MO,Full-Service Providers,9.08
7/4/2011,MS,Full-Service Providers,9.87
7/11/2011,MT,Full-Service Providers,9.16
7/18/2011,NC,Full-Service Providers,10.12
7/25/2011,ND,Full-Service Providers,8.13
8/1/2011,NE,Full-Service Providers,8.94
8/8/2011,NH,Full-Service Providers,16.32
8/15/2011,NJ,Full-Service Providers,16.58
8/22/2011,NM,Full-Service Providers,10.52
8/29/2011,NV,Full-Service Providers,12.36
9/5/2011,NY,Full-Service Providers,18.51
9/12/2011,OH,Full-Service Providers,11.31
9/19/2011,OK,Full-Service Providers,9.14
9/26/2011,OR,Full-Service Providers,8.87
10/3/2011,PA,Full-Service Providers,12.68
10/10/2011,RI,Full-Service Providers,15.93
10/17/2011,SC,Full-Service Providers,10.50
10/24/2011,SD,Full-Service Providers,8.97
10/31/2011,TN,Full-Service Providers,9.23
11/7/2011,TX,Full-Service Providers,11.60
11/14/2011,UT,Full-Service Providers,8.71
11/21/2011,VA,Full-Service Providers,10.45
11/28/2011,VT,Full-Service Providers,15.57
12/5/2011,WA,Full-Service Providers,8.04
12/12/2011,WI,Full-Service Providers,12.65
12/19/2011,WV,Full-Service Providers,8.79
12/26/2011,WY,Full-Service Providers,8.77
1/11/2010,AK,Full-Service Providers,17.14
1/18/2010,AL,Full-Service Providers,10.66
1/25/2010,AR,Full-Service Providers,9.14
2/1/2010,AZ,Full-Service Providers,10.73
2/8/2010,CA,Full-Service Providers,14.74
2/15/2010,CO,Full-Service Providers,10.00
2/22/2010,CT,Full-Service Providers,20.36
3/1/2010,DC,Full-Service Providers,13.68
3/8/2010,DE,Full-Service Providers,14.04
3/15/2010,FL,Full-Service Providers,12.39
3/22/2010,GA,Full-Service Providers,10.13
3/29/2010,HI,Full-Service Providers,24.20
4/5/2010,IA,Full-Service Providers,9.99
4/12/2010,ID,Full-Service Providers,7.80
4/19/2010,IL,Full-Service Providers,11.27
4/26/2010,IN,Full-Service Providers,9.50
5/3/2010,KS,Full-Service Providers,9.53
5/10/2010,KY,Full-Service Providers,8.37
5/17/2010,LA,Full-Service Providers,8.10
5/24/2010,MA,Full-Service Providers,16.66
5/31/2010,MD,Full-Service Providers,14.95
6/7/2010,ME,Full-Service Providers,16.16
6/14/2010,MI,Full-Service Providers,11.60
6/21/2010,MN,Full-Service Providers,10.04
6/28/2010,MO,Full-Service Providers,8.54
7/5/2010,MS,Full-Service Providers,10.22
7/12/2010,MT,Full-Service Providers,8.94
7/19/2010,NC,Full-Service Providers,9.99
7/26/2010,ND,Full-Service Providers,7.58
8/2/2010,NE,Full-Service Providers,8.52
8/9/2010,NH,Full-Service Providers,16.36
8/16/2010,NJ,Full-Service Providers,16.31
8/23/2010,NM,Full-Service Providers,10.02
8/30/2010,NV,Full-Service Providers,12.86
9/6/2010,NY,Full-Service Providers,17.16
9/13/2010,OH,Full-Service Providers,10.63
9/20/2010,OK,Full-Service Providers,8.49
9/27/2010,OR,Full-Service Providers,8.68
10/4/2010,PA,Full-Service Providers,11.60
10/11/2010,RI,Full-Service Providers,15.60
10/18/2010,SC,Full-Service Providers,10.44
10/25/2010,SD,Full-Service Providers,8.49
11/1/2010,TN,Full-Service Providers,9.32
11/8/2010,TX,Full-Service Providers,12.38
